  Frequency            , dB( V(Vs5)/ V(Ve))   , dB( V(Vs3)/ V(Ve))   
  1.386755828872e+00  ,-8.072742804448e+01  ,-4.343987940001e+01  
  1.389952631213e+00  ,-8.061822226713e+01  ,-4.336704713187e+01  
  1.393156802945e+00  ,-8.050905724730e+01  ,-4.329424198509e+01  
  1.396368361056e+00  ,-8.039993310453e+01  ,-4.322146403970e+01  
  1.399587322573e+00  ,-8.029084995865e+01  ,-4.314871337579e+01  
  1.402813704562e+00  ,-8.018180792936e+01  ,-4.307599007356e+01  
  1.406047524130e+00  ,-8.007280713655e+01  ,-4.300329421323e+01  
  1.409288798422e+00  ,-7.996384770002e+01  ,-4.293062587506e+01  
  1.412537544623e+00  ,-7.985492973955e+01  ,-4.285798513924e+01  
  1.415793779957e+00  ,-7.974605337545e+01  ,-4.278537208632e+01  
  1.419057521689e+00  ,-7.963721872785e+01  ,-4.271278679649e+01  
  1.422328787123e+00  ,-7.952842591683e+01  ,-4.264022935048e+01  
  1.425607593602e+00  ,-7.941967506272e+01  ,-4.256769982901e+01  
  1.428893958511e+00  ,-7.931096628587e+01  ,-4.249519831211e+01  
  1.432187899274e+00  ,-7.920229970699e+01  ,-4.242272488105e+01  
  1.435489433354e+00  ,-7.909367544605e+01  ,-4.235027961607e+01  
  1.438798578256e+00  ,-7.898509362419e+01  ,-4.227786259827e+01  
  1.442115351525e+00  ,-7.887655436147e+01  ,-4.220547390814e+01  
  1.445439770746e+00  ,-7.876805777902e+01  ,-4.213311362687e+01  
  1.448771853545e+00  ,-7.865960399746e+01  ,-4.206078183499e+01  
  1.452111617588e+00  ,-7.855119313745e+01  ,-4.198847861376e+01  
  1.455459080582e+00  ,-7.844282532007e+01  ,-4.191620404397e+01  
  1.458814260275e+00  ,-7.833450066611e+01  ,-4.184395820655e+01  
  1.462177174457e+00  ,-7.822621929634e+01  ,-4.177174118274e+01  
  1.465547840956e+00  ,-7.811798133226e+01  ,-4.169955305361e+01  
  1.468926277644e+00  ,-7.800978689464e+01  ,-4.162739390029e+01  
  1.472312502433e+00  ,-7.790163610450e+01  ,-4.155526380386e+01  
  1.475706533276e+00  ,-7.779352908305e+01  ,-4.148316284537e+01  
  1.479108388168e+00  ,-7.768546595158e+01  ,-4.141109110637e+01  
  1.482518085146e+00  ,-7.757744683117e+01  ,-4.133904866796e+01  
  1.485935642287e+00  ,-7.746947184343e+01  ,-4.126703561160e+01  
  1.489361077711e+00  ,-7.736154110910e+01  ,-4.119505201834e+01  
  1.492794409579e+00  ,-7.725365474959e+01  ,-4.112309796941e+01  
  1.496235656094e+00  ,-7.714581288668e+01  ,-4.105117354657e+01  
  1.499684835502e+00  ,-7.703801564131e+01  ,-4.097927883090e+01  
  1.503141966090e+00  ,-7.693026313486e+01  ,-4.090741390389e+01  
  1.506607066187e+00  ,-7.682255548901e+01  ,-4.083557884692e+01  
  1.510080154164e+00  ,-7.671489282515e+01  ,-4.076377374161e+01  
