  Frequency            , V(Ve)/ I(C1)         
  2.460367604148e+00  ,8.347642172308e+04  
  2.466039337234e+00  ,8.336097073996e+04  
  2.471724145016e+00  ,8.324588922932e+04  
  2.477422057633e+00  ,8.313117627944e+04  
  2.483133105296e+00  ,8.301683098057e+04  
  2.488857318282e+00  ,8.290285242426e+04  
  2.494594726943e+00  ,8.278923970295e+04  
  2.500345361696e+00  ,8.267599190993e+04  
  2.506109253032e+00  ,8.256310814205e+04  
  2.511886431510e+00  ,8.245058749436e+04  
  2.517676927759e+00  ,8.233842906432e+04  
  2.523480772481e+00  ,8.222663195102e+04  
  2.529297996446e+00  ,8.211519525554e+04  
  2.535128630498e+00  ,8.200411807793e+04  
  2.540972705549e+00  ,8.189339952139e+04  
  2.546830252585e+00  ,8.178303869001e+04  
  2.552701302661e+00  ,8.167303468829e+04  
  2.558585886906e+00  ,8.156338662278e+04  
  2.564484036518e+00  ,8.145409360048e+04  
  2.570395782769e+00  ,8.134515473041e+04  
  2.576321157003e+00  ,8.123656912318e+04  
  2.582260190635e+00  ,8.112833588948e+04  
  2.588212915153e+00  ,8.102045414085e+04  
  2.594179362119e+00  ,8.091292299197e+04  
  2.600159563165e+00  ,8.080574155721e+04  
  2.606153549999e+00  ,8.069890895255e+04  
  2.612161354399e+00  ,8.059242429476e+04  
  2.618183008219e+00  ,8.048628670383e+04  
  2.624218543384e+00  ,8.038049529742e+04  
  2.630267991895e+00  ,8.027504919753e+04  
  2.636331385825e+00  ,8.016994752542e+04  
  2.642408757322e+00  ,8.006518940513e+04  
  2.648500138607e+00  ,7.996077396032e+04  
  2.654605561975e+00  ,7.985670031746e+04  
  2.660725059799e+00  ,7.975296760262e+04  
  2.666858664521e+00  ,7.964957494426e+04  
  2.673006408663e+00  ,7.954652147086e+04  
  2.679168324819e+00  ,7.944380631330e+04  
  2.685344445658e+00  ,7.934142860363e+04  
  2.691534803927e+00  ,7.923938747391e+04  
  2.697739432445e+00  ,7.913768205743e+04  
  2.703958364109e+00  ,7.903631149101e+04  
  2.710191631891e+00  ,7.893527490950e+04  
  2.716439268839e+00  ,7.883457145054e+04  
  2.722701308078e+00  ,7.873420025334e+04  
  2.728977782808e+00  ,7.863416045752e+04  
  2.735268726307e+00  ,7.853445120467e+04  
  2.741574171928e+00  ,7.843507163476e+04  
  2.747894153102e+00  ,7.833602089375e+04  
  2.754228703338e+00  ,7.823729812439e+04  
  2.760577856220e+00  ,7.813890247301e+04  
  2.766941645411e+00  ,7.804083308670e+04  
  2.773320104652e+00  ,7.794308911335e+04  
  2.779713267759e+00  ,7.784566970121e+04  
  2.786121168630e+00  ,7.774857400172e+04  
  2.792543841237e+00  ,7.765180116588e+04  
  2.798981319634e+00  ,7.755535034628e+04  
  2.805433637952e+00  ,7.745922069668e+04  
  2.811900830399e+00  ,7.736341137321e+04  
  2.818382931264e+00  ,7.726792152953e+04  
  2.824879974916e+00  ,7.717275032535e+04  
  2.831391995799e+00  ,7.707789691830e+04  
  2.837919028441e+00  ,7.698336046756e+04  
  2.844461107448e+00  ,7.688914013473e+04  
