  Frequency            , dB( V(Vs4)/ V(Ve))   
  1.721868574986e+00  ,-6.444776254650e+01  
  1.725837891990e+00  ,-6.435782032709e+01  
  1.729816359215e+00  ,-6.426791277788e+01  
  1.733803997754e+00  ,-6.417803997819e+01  
  1.737800828749e+00  ,-6.408820200653e+01  
  1.741806873392e+00  ,-6.399839894200e+01  
  1.745822152920e+00  ,-6.390863086295e+01  
  1.749846688625e+00  ,-6.381889784809e+01  
  1.753880501842e+00  ,-6.372919997583e+01  
  1.757923613959e+00  ,-6.363953732451e+01  
  1.761976046412e+00  ,-6.354990997236e+01  
  1.766037820686e+00  ,-6.346031799739e+01  
  1.770108958317e+00  ,-6.337076147752e+01  
  1.774189480890e+00  ,-6.328124049071e+01  
  1.778279410039e+00  ,-6.319175511495e+01  
  1.782378767448e+00  ,-6.310230542733e+01  
  1.786487574852e+00  ,-6.301289150590e+01  
  1.790605854035e+00  ,-6.292351342756e+01  
  1.794733626833e+00  ,-6.283417126985e+01  
  1.798870915129e+00  ,-6.274486510965e+01  
  1.803017740860e+00  ,-6.265559502426e+01  
  1.807174126011e+00  ,-6.256636109055e+01  
  1.811340092620e+00  ,-6.247716338467e+01  
  1.815515662773e+00  ,-6.238800198364e+01  
  1.819700858610e+00  ,-6.229887696389e+01  
  1.823895702320e+00  ,-6.220978840137e+01  
  1.828100216143e+00  ,-6.212073637245e+01  
  1.832314422371e+00  ,-6.203172095324e+01  
  1.836538343348e+00  ,-6.194274221940e+01  
  1.840772001469e+00  ,-6.185380024651e+01  
  1.845015419179e+00  ,-6.176489511035e+01  
  1.849268618978e+00  ,-6.167602688599e+01  
  1.853531623415e+00  ,-6.158719564882e+01  
  1.857804455092e+00  ,-6.149840147378e+01  
  1.862087136663e+00  ,-6.140964443577e+01  
  1.866379690835e+00  ,-6.132092460973e+01  
  1.870682140366e+00  ,-6.123224207001e+01  
  1.874994508067e+00  ,-6.114359689078e+01  
  1.879316816803e+00  ,-6.105498914670e+01  
  1.883649089490e+00  ,-6.096641891153e+01  
  1.887991349096e+00  ,-6.087788625902e+01  
  1.892343618645e+00  ,-6.078939126287e+01  
  1.896705921211e+00  ,-6.070093399673e+01  
  1.901078279923e+00  ,-6.061251453367e+01  
  1.905460717963e+00  ,-6.052413294697e+01  
  1.909853258566e+00  ,-6.043578930975e+01  
  1.914255925021e+00  ,-6.034748369440e+01  
  1.918668740670e+00  ,-6.025921617333e+01  
  1.923091728910e+00  ,-6.017098681920e+01  
  1.927524913191e+00  ,-6.008279570407e+01  
  1.931968317017e+00  ,-5.999464290000e+01  
  1.936421963947e+00  ,-5.990652847852e+01  
  1.940885877593e+00  ,-5.981845251125e+01  
  1.945360081623e+00  ,-5.973041506961e+01  
  1.949844599758e+00  ,-5.964241622431e+01  
  1.954339455775e+00  ,-5.955445604679e+01  
  1.958844673506e+00  ,-5.946653460754e+01  
  1.963360276836e+00  ,-5.937865197709e+01  
  1.967886289707e+00  ,-5.929080822555e+01  
  1.972422736115e+00  ,-5.920300342288e+01  
  1.976969640112e+00  ,-5.911523763928e+01  
  1.981527025805e+00  ,-5.902751094410e+01  
  1.986094917357e+00  ,-5.893982340656e+01  
  1.990673338987e+00  ,-5.885217509606e+01  
  1.995262314969e+00  ,-5.876456608143e+01  
  1.999861869633e+00  ,-5.867699643114e+01  
  2.004472027365e+00  ,-5.858946621397e+01  
  2.009092812609e+00  ,-5.850197549768e+01  
  2.013724249862e+00  ,-5.841452435050e+01  
  2.018366363682e+00  ,-5.832711284032e+01  
  2.023019178678e+00  ,-5.823974103418e+01  
  2.027682719521e+00  ,-5.815240899959e+01  
  2.032357010936e+00  ,-5.806511680339e+01  
  2.037042077706e+00  ,-5.797786451221e+01  
  2.041737944669e+00  ,-5.789065219266e+01  
  2.046444636725e+00  ,-5.780347991095e+01  
  2.051162178826e+00  ,-5.771634773310e+01  
  2.055890595984e+00  ,-5.762925572444e+01  
  2.060629913270e+00  ,-5.754220395057e+01  
  2.065380155810e+00  ,-5.745519247677e+01  
  2.070141348791e+00  ,-5.736822136769e+01  
  2.074913517455e+00  ,-5.728129068830e+01  
  2.079696687104e+00  ,-5.719440050255e+01  
  2.084490883097e+00  ,-5.710755087486e+01  
  2.089296130854e+00  ,-5.702074186866e+01  
  2.094112455851e+00  ,-5.693397354779e+01  
  2.098939883623e+00  ,-5.684724597516e+01  
  2.103778439766e+00  ,-5.676055921419e+01  
  2.108628149933e+00  ,-5.667391332713e+01  
  2.113489039837e+00  ,-5.658730837647e+01  
  2.118361135248e+00  ,-5.650074442448e+01  
  2.123244462000e+00  ,-5.641422153245e+01  
  2.128139045983e+00  ,-5.632773976249e+01  
  2.133044913147e+00  ,-5.624129917554e+01  
  2.137962089502e+00  ,-5.615489983245e+01  
  2.142890601120e+00  ,-5.606854179389e+01  
  2.147830474130e+00  ,-5.598222512010e+01  
  2.152781734724e+00  ,-5.589594987121e+01  
  2.157744409153e+00  ,-5.580971610690e+01  
  2.162718523727e+00  ,-5.572352388643e+01  
  2.167704104820e+00  ,-5.563737326894e+01  
  2.172701178864e+00  ,-5.555126431324e+01  
  2.177709772353e+00  ,-5.546519707778e+01  
  2.182729911843e+00  ,-5.537917162055e+01  
  2.187761623950e+00  ,-5.529318799938e+01  
  2.192804935350e+00  ,-5.520724627215e+01  
  2.197859872785e+00  ,-5.512134649544e+01  
  2.202926463053e+00  ,-5.503548872649e+01  
  2.208004733019e+00  ,-5.494967302162e+01  
  2.213094709606e+00  ,-5.486389943726e+01  
  2.218196419800e+00  ,-5.477816802895e+01  
  2.223309890651e+00  ,-5.469247885244e+01  
  2.228435149270e+00  ,-5.460683196293e+01  
  2.233572222830e+00  ,-5.452122741497e+01  
  2.238721138568e+00  ,-5.443566526334e+01  
  2.243881923783e+00  ,-5.435014556232e+01  
  2.249054605836e+00  ,-5.426466836544e+01  
  2.254239212152e+00  ,-5.417923372626e+01  
  2.259435770221e+00  ,-5.409384169788e+01  
  2.264644307593e+00  ,-5.400849233315e+01  
  2.269864851884e+00  ,-5.392318568443e+01  
  2.275097430772e+00  ,-5.383792180409e+01  
  2.280342072000e+00  ,-5.375270074358e+01  
  2.285598803375e+00  ,-5.366752255433e+01  
  2.290867652768e+00  ,-5.358238728731e+01  
  2.296148648112e+00  ,-5.349729499315e+01  
  2.301441817408e+00  ,-5.341224572214e+01  
  2.306747188720e+00  ,-5.332723952450e+01  
  2.312064790176e+00  ,-5.324227644936e+01  
  2.317394649968e+00  ,-5.315735654585e+01  
  2.322736796357e+00  ,-5.307247986328e+01  
  2.328091257665e+00  ,-5.298764644991e+01  
  2.333458062281e+00  ,-5.290285635350e+01  
  2.338837238659e+00  ,-5.281810962228e+01  
  2.344228815320e+00  ,-5.273340630300e+01  
  2.349632820848e+00  ,-5.264874644310e+01  
  2.355049283896e+00  ,-5.256413008865e+01  
  2.360478233181e+00  ,-5.247955728644e+01  
  2.365919697486e+00  ,-5.239502808179e+01  
  2.371373705662e+00  ,-5.231054252028e+01  
  2.376840286625e+00  ,-5.222610064685e+01  
  2.382319469359e+00  ,-5.214170250627e+01  
  2.387811282913e+00  ,-5.205734814252e+01  
  2.393315756405e+00  ,-5.197303760001e+01  
  2.398832919019e+00  ,-5.188877092153e+01  
  2.404362800007e+00  ,-5.180454815054e+01  
  2.409905428687e+00  ,-5.172036932947e+01  
  2.415460834445e+00  ,-5.163623450093e+01  
  2.421029046736e+00  ,-5.155214370647e+01  
  2.426610095082e+00  ,-5.146809698795e+01  
  2.432204009074e+00  ,-5.138409438594e+01  
  2.437810818369e+00  ,-5.130013594134e+01  
  2.443430552694e+00  ,-5.121622169434e+01  
  2.449063241845e+00  ,-5.113235168485e+01  
  2.454708915685e+00  ,-5.104852595220e+01  
  2.460367604148e+00  ,-5.096474453558e+01  
  2.466039337234e+00  ,-5.088100747368e+01  
  2.471724145016e+00  ,-5.079731480438e+01  
  2.477422057633e+00  ,-5.071366656568e+01  
  2.483133105296e+00  ,-5.063006279479e+01  
