  Frequency            , P( V(Vs4))           
  2.506109253032e+00  ,-1.774804437302e+02  
  2.511886431510e+00  ,-1.776272604199e+02  
  2.517676927759e+00  ,-1.777741672079e+02  
  2.523480772481e+00  ,-1.779211635471e+02  
  2.529297996446e+00  ,-1.780682488916e+02  
  2.535128630498e+00  ,-1.782154226912e+02  
  2.540972705549e+00  ,-1.783626843970e+02  
  2.546830252585e+00  ,-1.785100334588e+02  
  2.552701302661e+00  ,-1.786574693240e+02  
  2.558585886906e+00  ,-1.788049914421e+02  
  2.564484036518e+00  ,-1.789525992578e+02  
  2.570395782769e+00  ,-1.791002922193e+02  
  2.576321157003e+00  ,-1.792480697718e+02  
  2.582260190635e+00  ,-1.793959313596e+02  
  2.588212915153e+00  ,-1.795438764253e+02  
  2.594179362119e+00  ,-1.796919044137e+02  
  2.600159563165e+00  ,-1.798400147658e+02  
  2.606153549999e+00  ,-1.799882069244e+02  
  2.612161354399e+00  ,-1.801364856466e+02  
  2.618183008219e+00  ,-1.802848397385e+02  
  2.624218543384e+00  ,-1.804332739562e+02  
  2.630267991895e+00  ,-1.805817877388e+02  
  2.636331385825e+00  ,-1.807303805251e+02  
  2.642408757322e+00  ,-1.808790517519e+02  
  2.648500138607e+00  ,-1.810278008567e+02  
  2.654605561975e+00  ,-1.811766272763e+02  
  2.660725059799e+00  ,-1.813255304464e+02  
  2.666858664521e+00  ,-1.814745098020e+02  
  2.673006408663e+00  ,-1.816235647777e+02  
  2.679168324819e+00  ,-1.817726948086e+02  
  2.685344445658e+00  ,-1.819218993283e+02  
  2.691534803927e+00  ,-1.820711777693e+02  
  2.697739432445e+00  ,-1.822205295646e+02  
  2.703958364109e+00  ,-1.823699541489e+02  
  2.710191631891e+00  ,-1.825194509517e+02  
  2.716439268839e+00  ,-1.826690194054e+02  
  2.722701308078e+00  ,-1.828186589416e+02  
  2.728977782808e+00  ,-1.829683689909e+02  
  2.735268726307e+00  ,-1.831181489851e+02  
  2.741574171928e+00  ,-1.832679983522e+02  
  2.747894153102e+00  ,-1.834179165241e+02  
  2.754228703338e+00  ,-1.835679029289e+02  
  2.760577856220e+00  ,-1.837179569977e+02  
  2.766941645411e+00  ,-1.838680781592e+02  
  2.773320104652e+00  ,-1.840182658425e+02  
  2.779713267759e+00  ,-1.841685194751e+02  
  2.786121168630e+00  ,-1.843188384862e+02  
  2.792543841237e+00  ,-1.844692223050e+02  
  2.798981319634e+00  ,-1.846196703590e+02  
  2.805433637952e+00  ,-1.847701820761e+02  
  2.811900830399e+00  ,-1.849207568860e+02  
  2.818382931264e+00  ,-1.850713942146e+02  
  2.824879974916e+00  ,-1.852220934895e+02  
  2.831391995799e+00  ,-1.853728541410e+02  
  2.837919028441e+00  ,-1.855236755953e+02  
  2.844461107448e+00  ,-1.856745572795e+02  
  2.851018267504e+00  ,-1.858254986229e+02  
  2.857590543375e+00  ,-1.859764990516e+02  
  2.864177969907e+00  ,-1.861275579946e+02  
  2.870780582025e+00  ,-1.862786748792e+02  
  2.877398414736e+00  ,-1.864298491344e+02  
  2.884031503127e+00  ,-1.865810801872e+02  
  2.890679882365e+00  ,-1.867323674656e+02  
  2.897343587701e+00  ,-1.868837103996e+02  
  2.904022654464e+00  ,-1.870351084159e+02  
  2.910717118067e+00  ,-1.871865609439e+02  
  2.917427014001e+00  ,-1.873380674121e+02  
  2.924152377843e+00  ,-1.874896272509e+02  
  2.930893245250e+00  ,-1.876412398877e+02  
  2.937649651961e+00  ,-1.877929047529e+02  
  2.944421633799e+00  ,-1.879446212766e+02  
  2.951209226666e+00  ,-1.880963888902e+02  
  2.958012466551e+00  ,-1.882482070220e+02  
  2.964831389524e+00  ,-1.884000751039e+02  
  2.971666031738e+00  ,-1.885519925677e+02  
  2.978516429429e+00  ,-1.887039588435e+02  
