  Frequency            , dB( V(Vs5)/ V(Ve))   , dB( V(Vs3)/ V(Ve))   
  1.819700858610e+00  ,-6.815469795197e+01  ,-3.505448086998e+01  
  1.823895702320e+00  ,-6.805113309881e+01  ,-3.498540687380e+01  
  1.828100216143e+00  ,-6.794762309163e+01  ,-3.491636946745e+01  
  1.832314422371e+00  ,-6.784416804292e+01  ,-3.484736872688e+01  
  1.836538343348e+00  ,-6.774076806546e+01  ,-3.477840472825e+01  
  1.840772001469e+00  ,-6.763742327113e+01  ,-3.470947754737e+01  
  1.845015419179e+00  ,-6.753413377221e+01  ,-3.464058726001e+01  
  1.849268618978e+00  ,-6.743089968024e+01  ,-3.457173394168e+01  
  1.853531623415e+00  ,-6.732772110659e+01  ,-3.450291766777e+01  
  1.857804455092e+00  ,-6.722459816267e+01  ,-3.443413851355e+01  
  1.862087136663e+00  ,-6.712153095923e+01  ,-3.436539655398e+01  
  1.866379690835e+00  ,-6.701851960724e+01  ,-3.429669186426e+01  
  1.870682140366e+00  ,-6.691556421694e+01  ,-3.422802451886e+01  
  1.874994508067e+00  ,-6.681266489857e+01  ,-3.415939459243e+01  
  1.879316816803e+00  ,-6.670982176210e+01  ,-3.409080215961e+01  
  1.883649089490e+00  ,-6.660703491683e+01  ,-3.402224729420e+01  
  1.887991349096e+00  ,-6.650430447249e+01  ,-3.395373007045e+01  
  1.892343618645e+00  ,-6.640163053784e+01  ,-3.388525056232e+01  
  1.896705921211e+00  ,-6.629901322192e+01  ,-3.381680884343e+01  
  1.901078279923e+00  ,-6.619645263294e+01  ,-3.374840498717e+01  
  1.905460717963e+00  ,-6.609394887920e+01  ,-3.368003906691e+01  
  1.909853258566e+00  ,-6.599150206883e+01  ,-3.361171115593e+01  
  1.914255925021e+00  ,-6.588911230908e+01  ,-3.354342132705e+01  
  1.918668740670e+00  ,-6.578677970728e+01  ,-3.347516965295e+01  
  1.923091728910e+00  ,-6.568450437061e+01  ,-3.340695620627e+01  
  1.927524913191e+00  ,-6.558228640567e+01  ,-3.333878105924e+01  
  1.931968317017e+00  ,-6.548012591882e+01  ,-3.327064428433e+01  
  1.936421963947e+00  ,-6.537802301623e+01  ,-3.320254595323e+01  
  1.940885877593e+00  ,-6.527597780343e+01  ,-3.313448613770e+01  
  1.945360081623e+00  ,-6.517399038590e+01  ,-3.306646490929e+01  
  1.949844599758e+00  ,-6.507206086867e+01  ,-3.299848233926e+01  
  1.954339455775e+00  ,-6.497018935666e+01  ,-3.293053849891e+01  
  1.958844673506e+00  ,-6.486837595421e+01  ,-3.286263345906e+01  
  1.963360276836e+00  ,-6.476662076566e+01  ,-3.279476729060e+01  
  1.967886289707e+00  ,-6.466492389418e+01  ,-3.272694006356e+01  
  1.972422736115e+00  ,-6.456328544362e+01  ,-3.265915184849e+01  
  1.976969640112e+00  ,-6.446170551688e+01  ,-3.259140271536e+01  
  1.981527025805e+00  ,-6.436018421676e+01  ,-3.252369273407e+01  
  1.986094917357e+00  ,-6.425872164549e+01  ,-3.245602197399e+01  
  1.990673338987e+00  ,-6.415731790517e+01  ,-3.238839050474e+01  
  1.995262314969e+00  ,-6.405597309748e+01  ,-3.232079839532e+01  
  1.999861869633e+00  ,-6.395468732350e+01  ,-3.225324571445e+01  
  2.004472027365e+00  ,-6.385346068428e+01  ,-3.218573253105e+01  
  2.009092812609e+00  ,-6.375229328046e+01  ,-3.211825891337e+01  
  2.013724249862e+00  ,-6.365118521197e+01  ,-3.205082492965e+01  
  2.018366363682e+00  ,-6.355013657885e+01  ,-3.198343064796e+01  
  2.023019178678e+00  ,-6.344914748019e+01  ,-3.191607613565e+01  
  2.027682719521e+00  ,-6.334821801536e+01  ,-3.184876146041e+01  
  2.032357010936e+00  ,-6.324734828265e+01  ,-3.178148668933e+01  
  2.037042077706e+00  ,-6.314653838039e+01  ,-3.171425188935e+01  
  2.041737944669e+00  ,-6.304578840659e+01  ,-3.164705712718e+01  
  2.046444636725e+00  ,-6.294509845868e+01  ,-3.157990246931e+01  
  2.051162178826e+00  ,-6.284446863363e+01  ,-3.151278798190e+01  
  2.055890595984e+00  ,-6.274389902814e+01  ,-3.144571373076e+01  
  2.060629913270e+00  ,-6.264338973827e+01  ,-3.137867978155e+01  
  2.065380155810e+00  ,-6.254294086012e+01  ,-3.131168619974e+01  
  2.070141348791e+00  ,-6.244255248888e+01  ,-3.124473305041e+01  
  2.074913517455e+00  ,-6.234222471973e+01  ,-3.117782039842e+01  
  2.079696687104e+00  ,-6.224195764707e+01  ,-3.111094830840e+01  
  2.084490883097e+00  ,-6.214175136524e+01  ,-3.104411684450e+01  
  2.089296130854e+00  ,-6.204160596781e+01  ,-3.097732607078e+01  
  2.094112455851e+00  ,-6.194152154807e+01  ,-3.091057605120e+01  
  2.098939883623e+00  ,-6.184149819889e+01  ,-3.084386684895e+01  
  2.103778439766e+00  ,-6.174153601293e+01  ,-3.077719852751e+01  
  2.108628149933e+00  ,-6.164163508169e+01  ,-3.071057114946e+01  
  2.113489039837e+00  ,-6.154179549726e+01  ,-3.064398477772e+01  
  2.118361135248e+00  ,-6.144201735030e+01  ,-3.057743947444e+01  
  2.123244462000e+00  ,-6.134230073156e+01  ,-3.051093530155e+01  
  2.128139045983e+00  ,-6.124264573147e+01  ,-3.044447232118e+01  
  2.133044913147e+00  ,-6.114305243945e+01  ,-3.037805059441e+01  
  2.137962089502e+00  ,-6.104352094496e+01  ,-3.031167018260e+01  
  2.142890601120e+00  ,-6.094405133648e+01  ,-3.024533114647e+01  
  2.147830474130e+00  ,-6.084464370281e+01  ,-3.017903354664e+01  
  2.152781734724e+00  ,-6.074529813130e+01  ,-3.011277744331e+01  
  2.157744409153e+00  ,-6.064601470992e+01  ,-3.004656289655e+01  
  2.162718523727e+00  ,-6.054679352517e+01  ,-2.998038996589e+01  
  2.167704104820e+00  ,-6.044763466356e+01  ,-2.991425871061e+01  
  2.172701178864e+00  ,-6.034853821127e+01  ,-2.984816918997e+01  
  2.177709772353e+00  ,-6.024950425353e+01  ,-2.978212146235e+01  
  2.182729911843e+00  ,-6.015053287526e+01  ,-2.971611558620e+01  
  2.187761623950e+00  ,-6.005162416103e+01  ,-2.965015161961e+01  
  2.192804935350e+00  ,-5.995277819532e+01  ,-2.958422962068e+01  
  2.197859872785e+00  ,-5.985399506079e+01  ,-2.951834964620e+01  
  2.202926463053e+00  ,-5.975527484101e+01  ,-2.945251175385e+01  
  2.208004733019e+00  ,-5.965661761820e+01  ,-2.938671600002e+01  
  2.213094709606e+00  ,-5.955802347439e+01  ,-2.932096244125e+01  
