  Frequency            , dB( V(Vs4)/ V(Ve))   
  2.546830252585e+00  ,-4.971337643182e+01  
  2.552701302661e+00  ,-4.963030908255e+01  
  2.558585886906e+00  ,-4.954728664860e+01  
  2.564484036518e+00  ,-4.946430916165e+01  
  2.570395782769e+00  ,-4.938137665234e+01  
  2.576321157003e+00  ,-4.929848915112e+01  
  2.582260190635e+00  ,-4.921564668825e+01  
  2.588212915153e+00  ,-4.913284929359e+01  
  2.594179362119e+00  ,-4.905009699592e+01  
  2.600159563165e+00  ,-4.896738982431e+01  
  2.606153549999e+00  ,-4.888472780689e+01  
  2.612161354399e+00  ,-4.880211097186e+01  
  2.618183008219e+00  ,-4.871953934619e+01  
  2.624218543384e+00  ,-4.863701295724e+01  
  2.630267991895e+00  ,-4.855453183151e+01  
  2.636331385825e+00  ,-4.847209599496e+01  
  2.642408757322e+00  ,-4.838970547335e+01  
  2.648500138607e+00  ,-4.830736029188e+01  
  2.654605561975e+00  ,-4.822506047524e+01  
  2.660725059799e+00  ,-4.814280604768e+01  
  2.666858664521e+00  ,-4.806059703317e+01  
  2.673006408663e+00  ,-4.797843345511e+01  
  2.679168324819e+00  ,-4.789631533635e+01  
  2.685344445658e+00  ,-4.781424269942e+01  
  2.691534803927e+00  ,-4.773221556644e+01  
  2.697739432445e+00  ,-4.765023395904e+01  
  2.703958364109e+00  ,-4.756829789794e+01  
  2.710191631891e+00  ,-4.748640740424e+01  
  2.716439268839e+00  ,-4.740456249803e+01  
  2.722701308078e+00  ,-4.732276319900e+01  
  2.728977782808e+00  ,-4.724100952647e+01  
  2.735268726307e+00  ,-4.715930149912e+01  
  2.741574171928e+00  ,-4.707763913569e+01  
  2.747894153102e+00  ,-4.699602245373e+01  
  2.754228703338e+00  ,-4.691445147101e+01  
  2.760577856220e+00  ,-4.683292620424e+01  
  2.766941645411e+00  ,-4.675144666993e+01  
  2.773320104652e+00  ,-4.667001288423e+01  
  2.779713267759e+00  ,-4.658862486287e+01  
  2.786121168630e+00  ,-4.650728262091e+01  
  2.792543841237e+00  ,-4.642598617297e+01  
  2.798981319634e+00  ,-4.634473553325e+01  
  2.805433637952e+00  ,-4.626353071553e+01  
  2.811900830399e+00  ,-4.618237173288e+01  
  2.818382931264e+00  ,-4.610125859838e+01  
  2.824879974916e+00  ,-4.602019132448e+01  
  2.831391995799e+00  ,-4.593916992260e+01  
  2.837919028441e+00  ,-4.585819440436e+01  
  2.844461107448e+00  ,-4.577726478091e+01  
  2.851018267504e+00  ,-4.569638106236e+01  
  2.857590543375e+00  ,-4.561554325907e+01  
  2.864177969907e+00  ,-4.553475138035e+01  
  2.870780582025e+00  ,-4.545400543538e+01  
  2.877398414736e+00  ,-4.537330543252e+01  
  2.884031503127e+00  ,-4.529265138021e+01  
  2.890679882365e+00  ,-4.521204328604e+01  
  2.897343587701e+00  ,-4.513148115696e+01  
  2.904022654464e+00  ,-4.505096499998e+01  
  2.910717118067e+00  ,-4.497049482128e+01  
  2.917427014001e+00  ,-4.489007062670e+01  
  2.924152377843e+00  ,-4.480969242124e+01  
  2.930893245250e+00  ,-4.472936021022e+01  
  2.937649651961e+00  ,-4.464907399780e+01  
  2.944421633799e+00  ,-4.456883378790e+01  
  2.951209226666e+00  ,-4.448863958372e+01  
  2.958012466551e+00  ,-4.440849138861e+01  
  2.964831389524e+00  ,-4.432838920490e+01  
  2.971666031738e+00  ,-4.424833303459e+01  
  2.978516429429e+00  ,-4.416832287933e+01  
  2.985382618918e+00  ,-4.408835874025e+01  
  2.992264636608e+00  ,-4.400844061792e+01  
  2.999162518988e+00  ,-4.392856851232e+01  
  3.006076302628e+00  ,-4.384874242337e+01  
  3.013006024186e+00  ,-4.376896235044e+01  
  3.019951720402e+00  ,-4.368922829214e+01  
  3.026913428101e+00  ,-4.360954024667e+01  
  3.033891184194e+00  ,-4.352989821180e+01  
  3.040885025676e+00  ,-4.345030218529e+01  
  3.047894989628e+00  ,-4.337075216361e+01  
  3.054921113215e+00  ,-4.329124814325e+01  
  3.061963433691e+00  ,-4.321179012043e+01  
  3.069021988391e+00  ,-4.313237809048e+01  
  3.076096814741e+00  ,-4.305301204848e+01  
  3.083187950249e+00  ,-4.297369198893e+01  
  3.090295432514e+00  ,-4.289441790616e+01  
  3.097419299217e+00  ,-4.281518979353e+01  
  3.104559588128e+00  ,-4.273600764451e+01  
  3.111716337106e+00  ,-4.265687145158e+01  
  3.118889584094e+00  ,-4.257778120717e+01  
  3.126079367124e+00  ,-4.249873690299e+01  
  3.133285724316e+00  ,-4.241973853043e+01  
  3.140508693876e+00  ,-4.234078608049e+01  
  3.147748314101e+00  ,-4.226187954340e+01  
  3.155004623375e+00  ,-4.218301890923e+01  
  3.162277660168e+00  ,-4.210420416761e+01  
  3.169567463043e+00  ,-4.202543530747e+01  
  3.176874070650e+00  ,-4.194671231731e+01  
  3.184197521726e+00  ,-4.186803518559e+01  
  3.191537855101e+00  ,-4.178940389992e+01  
  3.198895109691e+00  ,-4.171081844731e+01  
  3.206269324505e+00  ,-4.163227881476e+01  
  3.213660538640e+00  ,-4.155378498875e+01  
  3.221068791283e+00  ,-4.147533695475e+01  
  3.228494121713e+00  ,-4.139693469852e+01  
  3.235936569296e+00  ,-4.131857820509e+01  
  3.243396173493e+00  ,-4.124026745890e+01  
  3.250872973854e+00  ,-4.116200244426e+01  
  3.258367010020e+00  ,-4.108378314438e+01  
  3.265878321723e+00  ,-4.100560954294e+01  
  3.273406948788e+00  ,-4.092748162251e+01  
  3.280952931131e+00  ,-4.084939936546e+01  
  3.288516308760e+00  ,-4.077136275357e+01  
  3.296097121774e+00  ,-4.069337176842e+01  
  3.303695410368e+00  ,-4.061542639108e+01  
  3.311311214826e+00  ,-4.053752660202e+01  
  3.318944575526e+00  ,-4.045967238125e+01  
  3.326595532940e+00  ,-4.038186370874e+01  
  3.334264127632e+00  ,-4.030410056372e+01  
  3.341950400261e+00  ,-4.022638292498e+01  
  3.349654391578e+00  ,-4.014871077084e+01  
  3.357376142429e+00  ,-4.007108407925e+01  
  3.365115693755e+00  ,-3.999350282809e+01  
  3.372873086589e+00  ,-3.991596699427e+01  
  3.380648362060e+00  ,-3.983847655419e+01  
  3.388441561392e+00  ,-3.976103148447e+01  
  3.396252725904e+00  ,-3.968363176101e+01  
  3.404081897010e+00  ,-3.960627735909e+01  
  3.411929116219e+00  ,-3.952896825375e+01  
  3.419794425137e+00  ,-3.945170441951e+01  
  3.427677865464e+00  ,-3.937448583074e+01  
  3.435579478999e+00  ,-3.929731246091e+01  
  3.443499307633e+00  ,-3.922018428356e+01  
  3.451437393358e+00  ,-3.914310127157e+01  
  3.459393778261e+00  ,-3.906606339743e+01  
  3.467368504525e+00  ,-3.898907063333e+01  
  3.475361614432e+00  ,-3.891212295073e+01  
  3.483373150360e+00  ,-3.883522032116e+01  
  3.491403154786e+00  ,-3.875836271543e+01  
  3.499451670283e+00  ,-3.868155010409e+01  
  3.507518739526e+00  ,-3.860478245714e+01  
  3.515604405283e+00  ,-3.852805974417e+01  
  3.523708710425e+00  ,-3.845138193454e+01  
  3.531831697919e+00  ,-3.837474899725e+01  
  3.539973410834e+00  ,-3.829816090068e+01  
  3.548133892336e+00  ,-3.822161761286e+01  
  3.556313185690e+00  ,-3.814511910149e+01  
  3.564511334262e+00  ,-3.806866533411e+01  
  3.572728381519e+00  ,-3.799225627754e+01  
  3.580964371026e+00  ,-3.791589189801e+01  
